,G,AB,SO,SF,HBP,IBB,SH,BB,H,SB,RBI,HR,2B,3B,RunRating
bakopa01,789,2202,589,13,7,36,16,233,508,4,195,24,98,11,1
balbost01,960,3120,856,27,19,21,1,273,714,1,495,181,127,11,2
baldero01,519,1910,388,15,31,8,7,102,531,60,262,60,99,18,1
baldwki01,441,1677,38,0,13,0,0,36,371,40,178,7,56,27,1
baldwla01,134,494,77,0,1,0,0,40,114,7,55,0,16,7,0
baldwma01,348,1155,368,0,1,0,0,82,188,18,106,10,21,18,1
balenmi01,78,219,33,0,1,0,9,6,40,6,11,0,2,4,0
balenwl01,170,511,149,4,0,2,0,44,113,2,52,15,31,1,0
ballne01,501,1609,13,0,4,0,60,99,404,92,151,4,56,17,1
bancrda01,1913,7182,487,0,23,0,212,827,2004,145,591,32,320,77,4
bandoch01,498,1284,197,16,2,6,27,138,292,1,142,27,46,2,1
bandosa01,2019,7060,923,57,75,69,65,1031,1790,75,1039,242,289,38,4
banksbr01,273,495,129,5,2,6,5,62,122,8,64,13,19,3,0
bankser01,2528,9421,1236,96,70,198,45,763,2583,50,1636,512,407,90,4
banksge01,106,201,59,4,2,1,1,37,44,0,27,9,6,2,0
bannial01,972,3007,318,28,13,13,33,292,811,108,288,19,143,28,2
bannoji01,366,1433,101,0,11,0,20,152,459,99,253,19,76,24,1
barajro01,1114,3460,638,39,46,31,28,207,812,2,480,136,187,1,2
barbawa01,500,1777,121,0,6,0,83,88,462,37,156,1,52,21,1
barbebr01,479,1434,268,11,32,10,18,164,388,16,133,16,73,6,1
barbech01,55,204,0,0,0,0,0,11,41,0,0,0,1,4,0
barbeda01,116,374,42,0,3,0,4,20,92,1,60,6,23,7,0
barbeja01,199,712,3,0,11,0,18,78,160,39,46,0,25,8,0
barbest01,466,563,320,1,2,0,45,38,65,0,27,5,5,2,0
barbetu01,491,1531,112,0,12,0,53,115,442,28,185,2,47,21,1
barclge01,401,1538,0,0,18,0,25,62,382,61,140,4,35,15,1
bardjo01,586,1778,299,13,3,12,11,175,452,1,220,39,109,3,1
barfije01,1428,4759,1234,34,34,49,16,551,1219,66,716,241,216,30,4
barfijo02,309,1012,188,9,5,7,5,44,267,35,112,16,53,6,1
bargecy01,193,428,55,0,1,0,9,16,97,3,31,0,8,5,0
barkeke01,126,285,65,3,1,2,0,34,71,3,36,6,12,0,0
barkera01,192,318,76,3,3,6,3,29,68,1,44,10,16,0,0
barklsa01,582,2329,44,0,12,0,0,176,602,51,231,10,125,39,2
barloto01,126,607,4,0,0,0,0,7,174,19,34,1,5,3,1
barmecl01,1186,3805,734,26,60,32,60,216,932,43,415,89,208,17,2
barnaba01,207,664,98,0,0,0,3,76,154,9,96,12,22,9,0
barnebr02,417,1053,323,3,12,3,14,62,257,21,92,19,50,7,1
barneda01,581,1921,237,13,21,10,18,115,472,20,157,21,90,13,1
barneed01,88,272,33,0,3,0,11,37,61,17,22,0,5,2,0
barneje01,435,913,72,0,1,0,41,24,195,2,69,1,11,5,0
barnere01,286,836,76,0,5,0,16,95,225,12,97,8,41,24,1
barnere02,155,201,78,0,0,0,7,7,33,0,7,0,3,0,0
barnero01,499,2392,65,0,0,0,0,114,859,73,350,6,144,44,3
barnesk01,353,614,74,8,4,3,8,41,159,20,83,14,30,4,0
barnevi01,205,371,119,0,0,0,15,7,40,0,9,0,0,0,0
barnhcl01,814,2673,149,0,7,0,103,265,788,35,436,27,121,61,2
barnhtu01,102,296,55,3,2,6,4,29,71,0,19,4,9,0,0
barnhvi01,74,204,12,0,0,0,5,10,55,2,19,0,7,0,0
barnibi01,83,321,16,0,0,0,0,5,55,2,22,0,5,2,0
