,0,1,2,3,4
152,0.9087431693989071,0.882225617519735,0.882225617519735,0.882225617519735,0.882225617519735
176,0.613700168444694,0.8240289069557364,0.8240289069557364,0.8240289069557364,0.8240289069557364
203,0.7267320261437911,0.7939521800281293,0.7939521800281293,0.7939521800281293,0.7939521800281293
235,0.8553030303030302,0.7259577015163606,0.7259577015163606,0.7259577015163606,0.7259577015163606
272,0.8833519137866963,0.8226627173995594,0.8226627173995594,0.8226627173995594,0.8226627173995594
315,0.852177644282343,0.7448559670781892,0.7448559670781892,0.7448559670781892,0.7448559670781892
364,0.841134303183639,0.830952380952381,0.830952380952381,0.830952380952381,0.830952380952381
421,0.6096998762376237,0.8370981621488721,0.8370981621488721,0.8370981621488721,0.8370981621488721
487,0.8631596676397933,0.8845114345114343,0.8845114345114343,0.8845114345114343,0.8845114345114343
563,0.8594458653026428,0.7472641677029668,0.7472641677029668,0.7472641677029668,0.7472641677029668
651,0.8592176020601379,0.8928127772848272,0.8561721550323628,0.8561721550323628,0.8561721550323628
753,0.893030349685341,0.8875695232963184,0.8703845935028731,0.8703845935028731,0.8703845935028731
871,0.7907266292792214,0.9189344919403327,0.9112669823117019,0.9112669823117019,0.9112669823117019
1007,0.7957489331820883,0.896629395559877,0.8980274660647868,0.8980274660647868,0.8980274660647868
1164,0.9118150684931507,0.9273449391171995,0.9064039215839942,0.9064039215839942,0.9064039215839942
1346,0.9033842746790169,0.8945640106276712,0.8860498633459588,0.8520864151420597,0.8520864151420597
1557,0.8914476272920439,0.9335143359303272,0.8873351781450913,0.8914009217817562,0.8914009217817562
1800,0.9153454388685485,0.9359890870015637,0.8968194939527173,0.9022920692045606,0.9022920692045606
2082,0.9172334616983961,0.926300374247437,0.9103906234951944,0.9259635572163262,0.9049547039089051
2407,0.9228311815644327,0.9319072324398834,0.8991183083966924,0.9127253749540976,0.9199334732129363
