,train,test
0.1,0.021133199999985662,0.01937840000000506
0.2,0.034534599999994954,0.029764599999998607
0.3,0.05430219999999508,0.03468099999998912
0.4,0.0572439999999915,0.02169059999998808
0.5,0.0709524000000215,0.0262068000000113
0.6,0.06769339999999602,0.019526600000006056
0.7,0.07525079999999207,0.015999600000020563
0.8,0.07672860000001265,0.010272999999995137
0.9,0.0811525999999958,0.005412599999999657
