,train,test
0.1,0.021581000000003313,0.05766920000000937
0.2,0.02927479999999605,0.05952739999999039
0.3,0.03726920000000291,0.06322959999999966
0.4,0.047269400000016046,0.061933800000008435
0.5,0.04848299999999881,0.046270800000002055
0.6,0.079142400000012,0.06356819999998606
0.7,0.07845319999998993,0.048235399999998665
0.8,0.12033839999999145,0.04672480000000405
0.9,0.09280199999998331,0.015509800000006634
