,0,1,2,3,4
439,0.9160536739948506,0.8892484934474342,0.8892484934474342,0.8892484934474342,0.8892484934474342
508,0.8622289384285663,0.8805505988314305,0.8805505988314305,0.8805505988314305,0.8805505988314305
587,0.8998879196768881,0.8890388832812639,0.8890388832812639,0.8890388832812639,0.8890388832812639
679,0.8917635724248102,0.8759296346077176,0.8759296346077176,0.8759296346077176,0.8759296346077176
786,0.8928693295681703,0.9126195605681136,0.9126195605681136,0.9126195605681136,0.9126195605681136
908,0.9071238480806241,0.8957491971864674,0.8957491971864674,0.8957491971864674,0.8957491971864674
1051,0.8933218827281544,0.9184779581172052,0.9184779581172052,0.9184779581172052,0.9184779581172052
1215,0.885477476531891,0.8905844631152595,0.8905844631152595,0.8905844631152595,0.8905844631152595
1405,0.8994048912796394,0.8821075555576389,0.8821075555576389,0.8821075555576389,0.8821075555576389
1625,0.9091773789825781,0.9199910404881987,0.914037983194474,0.914037983194474,0.914037983194474
1879,0.9161083762060066,0.9227717833514582,0.9249346982344467,0.9249346982344467,0.9249346982344467
2173,0.9232255355123565,0.9240324731684685,0.915762301868517,0.915762301868517,0.915762301868517
2512,0.9139480265323358,0.9280657587943415,0.9256484120823909,0.9256484120823909,0.9256484120823909
2905,0.9191961266301745,0.9259124006380822,0.9225788176380513,0.9225788176380513,0.9225788176380513
3359,0.938401958897776,0.9285372925097846,0.9484239448332618,0.9350825909211986,0.9350825909211986
3885,0.944490940109493,0.9428620807705423,0.9244027516824421,0.9412925040771941,0.9412925040771941
4492,0.9319926025852432,0.9350986356203738,0.9413904169600672,0.9367731415563118,0.9367731415563118
5195,0.9469611263473164,0.9471402574798138,0.9441144846978975,0.9542843638637684,0.9409276311107138
6007,0.9500137741552541,0.9479769093832922,0.9389022898481694,0.9472529289246174,0.9497037843028564
6946,0.944340699769435,0.9560564252294992,0.9529545923316166,0.9516651834388873,0.9444680054344721
