mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.06675267219543457,0.00695026839876615,0.03257312774658203,0.0015725048266677366,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.7948768041717801,0.8284112351123821,0.7850965951738084,0.7973295107519381,0.7753471826880777,0.7962303840374335,0.01787846164373281,96,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06010751724243164,0.0025413097450769106,0.012281990051269532,0.0004426293824843135,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",0.7948768041717801,0.8284112351123821,0.7850965951738084,0.7973295107519381,0.7753471826880777,0.7962303840374335,0.01787846164373281,96,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06732983589172363,0.012584299865251223,0.03908286094665527,0.003462188254366323,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.7892924615804284,0.8238880099578187,0.804416090206425,0.7993956013495689,0.7970234176237765,0.8028060272718321,0.011622165190762366,94,0.8672722719335811,0.8718160193206934,0.8662016929967536,0.8636280856805679,0.8653274000624427,0.8668490939988077,0.002755322187958028
0.0690042495727539,0.012450218333452882,0.01879281997680664,0.0036837806806371844,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.8052467026570591,0.8383132572520058,0.8164807575253813,0.8318975402066826,0.8170768281902603,0.8218012846496942,0.011831995058705658,85,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06319074630737305,0.00838847682567213,0.046528196334838866,0.016717681685715347,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.8076346196944947,0.8562441685352727,0.8078960556413486,0.8413882565686339,0.8389807912936513,0.8304135777900571,0.019435973474908205,34,0.8662350097874374,0.8770741323299487,0.8640638001215764,0.8663197568817572,0.8634732360022764,0.8674331870245992,0.004952921601576975
0.11603474617004395,0.006512812274816558,0.03900761604309082,0.0014705240751476036,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.8085093971367846,0.8588137573475065,0.8072857116074438,0.8407658001316282,0.8414198156838953,0.8313426807517927,0.02023343583724676,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07335381507873535,0.019850414465343847,0.0533257007598877,0.01756979544748693,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.8111556895908268,0.8622325917165726,0.8118132701699573,0.8431885658534631,0.8047134123917822,0.8266331408132183,0.022275948190576215,57,0.8457235548578369,0.8553211360656097,0.8482198310222652,0.8525325186111457,0.8413364340277557,0.8486266949169226,0.004935841676698092
0.07679014205932617,0.020135730658800578,0.02707185745239258,0.008605118283010919,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",0.8297681448880495,0.8663510796008029,0.8283606295913,0.845027758460185,0.8295755796815386,0.839822387632807,0.014621169568078757,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06661090850830079,0.00815831463300284,0.044426774978637694,0.00504518599923958,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.819554905776673,0.8561552118698769,0.8103336662235376,0.8542845938379219,0.8181507747021377,0.8317001808589156,0.019474063043225395,24,0.8518485323046862,0.8590138194892346,0.8535870864405152,0.854574896779524,0.8477145502232675,0.8533477770474456,0.0036782633952982145
0.06510143280029297,0.011977824702349059,0.02174687385559082,0.001114232663463757,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",0.8244201179858537,0.8575538132684782,0.815233735937648,0.8530827025285599,0.8181201483941392,0.8336896154181431,0.017969856647440146,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06817574501037597,0.010832488583530853,0.04701852798461914,0.0047528504846325054,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.8064987993282126,0.8496205563250472,0.7957493171339545,0.8556462342836899,0.8128524610858576,0.8240725200673233,0.02403239742127187,73,0.8369735127191944,0.8556733675381206,0.8458472114205533,0.8520174771521295,0.8374658339879003,0.8455954805635795,0.007527266402013272
0.06304287910461426,0.002912784465698623,0.02326359748840332,0.0012625763086361536,manhattan,16,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",0.8167246513884636,0.8632241772745106,0.8031379731124805,0.8572177232085512,0.8270170227833249,0.8334610208205787,0.023208829983338553,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
