mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.1382702350616455,0.004198872313492362,0.0037261009216308593,0.0009158584075619553,balanced,gini,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 1}",0.1928994082840237,0.18934911242603553,0.19526627218934914,0.19053254437869827,0.1922619047619048,0.19206168914558022,0.002035872972031412,80,0.19185185185185186,0.19274074074074077,0.19125925925925924,0.19244444444444442,0.19201183431952668,0.1920616261231646,0.0005095141968229649
0.13377013206481933,0.0056283304561483335,0.0032437801361083984,0.0004490041487439478,balanced,gini,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 2}",0.3573899828628706,0.34272965370065,0.3549293497591102,0.35520419051314395,0.3596243920014412,0.3539710167644137,0.005873115317634364,78,0.35281765627842193,0.35799083937383147,0.35479948868605776,0.3536357859956793,0.35253985190933496,0.35435672444866506,0.0019795120797333906
0.14079508781433106,0.0019377097107459288,0.0027040481567382813,0.00021873922222019534,balanced,gini,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 3}",0.5607462734827174,0.5578297280693246,0.5528211595046401,0.5580107996249234,0.5730838518354282,0.5604883433489288,0.0067861285872200154,76,0.5621113611396991,0.5679427721211593,0.5686944133376994,0.5634168637743471,0.5620170077925438,0.5648364836330898,0.0028956417920580485
0.14882140159606932,0.006493395196795032,0.0026325225830078126,0.00011608733560126417,balanced,gini,4,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 4}",0.7115821127170433,0.695967924467294,0.6986516635949171,0.7078022439939214,0.7298578680671998,0.7087555766544513,0.01198848182090544,74,0.7092792485467533,0.7111245446984722,0.7188393396099831,0.712485519880836,0.7161759950852008,0.713580929564249,0.0034676634734854515
0.14832916259765624,0.002240363052125096,0.00296931266784668,0.00042229637748939875,balanced,gini,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 5}",0.8019303521195073,0.7986031622853818,0.7851715329647234,0.7873540918938147,0.8158782894281001,0.797773083870248,0.011066238531742961,72,0.8002105307551112,0.8051694217165051,0.8132289301816216,0.7992523777990007,0.8032471626733922,0.8042216846251261,0.004975173099398776
0.16637740135192872,0.0025005564290361887,0.0031785011291503907,0.0006468052108979115,balanced,gini,6,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 6}",0.8656546060076956,0.8490380573608821,0.8426585184466648,0.8474860154557508,0.8683780700174144,0.8546321191786053,0.010352280461243302,70,0.8671115507511417,0.8565326965888168,0.8656322118396442,0.8684764914666275,0.8657984932259838,0.8647102887744428,0.004215625382319318
0.18544673919677734,0.007005666691655315,0.003150606155395508,0.0004065457962678976,balanced,gini,7,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 7}",0.8864584343777282,0.8684741488020177,0.8910498916804087,0.8804475054159798,0.8879880732970267,0.8828795471142595,0.007990500331460584,68,0.8948849251398248,0.8835267547274694,0.9052028417801176,0.8998476902984399,0.8881753807352799,0.8943275185362264,0.007791802775219388
0.21057920455932616,0.009326084091095359,0.0029412269592285155,0.0003082540944434589,balanced,gini,8,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 8}",0.8972030911501276,0.8865004688459922,0.8954667442687619,0.8906457141009476,0.9073436756601951,0.8954224560168522,0.007033331128651058,66,0.9097563491192526,0.9032546544780421,0.9221157226353789,0.9196349966557269,0.906238076761406,0.9121999599299613,0.007418030675071172
0.22458257675170898,0.006538632393925892,0.0030594825744628905,0.0003861203602900885,balanced,gini,9,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 9}",0.9018010152940795,0.8914152682122418,0.9030232482943706,0.9011155301193136,0.9114962538512349,0.9017625204117395,0.006381313941042034,65,0.9189492879036111,0.91414956046834,0.9304357637200208,0.9339968662605275,0.9221925825330618,0.9239448121771122,0.00730956593456994
0.2425290584564209,0.007951445661138258,0.0029589653015136717,0.0004427345682781419,balanced,gini,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 10}",0.9058524913505998,0.8930093445856372,0.9113557732725451,0.9096291266530864,0.9155165504944823,0.9070659351909149,0.007686308499022819,63,0.9254239992097458,0.9228438302803016,0.942736497051859,0.9413481182536286,0.9276788889966696,0.9320062667584409,0.00834758310050932
0.2752244472503662,0.008438448882716922,0.002954721450805664,0.00022227287312939436,balanced,gini,11,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 11}",0.9171888640993308,0.9008406893652795,0.9187312057425551,0.9188249749409901,0.9147397211867577,0.9140645540021768,0.00677802206235303,61,0.9385146079274991,0.9366910141913548,0.9499517622149837,0.9496199892589885,0.9302066155786206,0.9409967978342895,0.007689992068008805
0.28236923217773435,0.008473484596990268,0.0027211666107177734,0.0003967501389131008,balanced,gini,12,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 12}",0.9207391599573188,0.9016587447861093,0.9198241019174184,0.9233323633071427,0.9212767738776565,0.9173631156318882,0.007940023367855154,33,0.9451135357096856,0.9382056990545078,0.9509193956105285,0.9490040901861811,0.9366475894849162,0.9439780620091639,0.005688380673534737
