mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.06222653388977051,0.0009748667540469065,0.0019477367401123046,0.0003202756774435323,balanced,gini,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 1}",0.39999999999999997,0.4,0.4,0.4,0.39999999999999997,0.4,3.5094590195835595e-17,47,0.4,0.4,0.4,0.3999999999999999,0.4000000000000001,0.4,5.551115123125783e-17
0.07157435417175292,0.007880055240080739,0.0020628452301025392,0.00014011820745551382,balanced,gini,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 2}",0.6941383918394788,0.693971295936929,0.6994955472790012,0.6965738922962285,0.6913246704771671,0.6951035931278047,0.0027536775499168997,46,0.7009274871083798,0.7002435128976433,0.6948279056374231,0.7005103319257983,0.7021935328113058,0.69974055407611,0.0025458026197872205
0.07776384353637696,0.004843936764448128,0.0022276878356933595,0.0003896201842848721,balanced,gini,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 3}",0.7966881256584758,0.8204306216117212,0.8216772975358426,0.8083397055492404,0.8255472314527769,0.8145241396136231,0.010622686527268606,43,0.8328176442786103,0.8250604219222945,0.8269331873565386,0.8230457497535048,0.8250488375253074,0.826581168167251,0.003351937991527475
0.0802652359008789,0.009296273990123479,0.002245330810546875,0.0004391116108350481,balanced,gini,4,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 4}",0.8073932412026193,0.8335038391156236,0.8185982474135375,0.8060288226734751,0.8231082070625331,0.8177219618707113,0.010223140420475712,41,0.8385621680600703,0.8393647387462273,0.8406768153297411,0.8298808645509266,0.8394622287953054,0.837589363096454,0.00391303578415038
0.0788989543914795,0.002909405575098094,0.0019379615783691405,0.0001935515211976326,balanced,gini,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 5}",0.8233916611117643,0.8450280909073885,0.818697003091989,0.8053572840600047,0.82767152695432,0.8240298881573535,0.012899569677567104,30,0.8436888143376065,0.8492313666432764,0.8444436348114933,0.8322220991892884,0.8430596881045551,0.8425291206172438,0.005593684805089133
0.08664126396179199,0.007294241572081482,0.0018575668334960937,0.00012547201264995767,balanced,gini,6,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 6}",0.8231833391651981,0.8477363334844835,0.817211005760657,0.8268558298308447,0.8269109736390222,0.8283799887939078,0.01030915531743984,11,0.8534953568513378,0.8594008573438446,0.8534883294180825,0.8500989187114676,0.8435694141863336,0.8520105753022132,0.005175176017018725
0.09211921691894531,0.002636505021778277,0.0019186019897460937,9.792166549934794e-05,balanced,gini,7,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 7}",0.8232086646632261,0.848259355806329,0.826009907046318,0.8253152412470011,0.831128297456545,0.8307835143144644,0.009121333253211454,5,0.8564408210969503,0.8665086130953733,0.870532402300818,0.8548404352158125,0.8516496482724422,0.8599943839962793,0.00724307423894193
0.1125558853149414,0.011031574490289017,0.0024704933166503906,0.0008399526808201222,balanced,gini,8,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 8}",0.8270831924389354,0.8549734874275248,0.8210225156201483,0.8285939297715913,0.8303677441412473,0.8324096614624485,0.011717544727091236,3,0.8717394244126605,0.878585683764149,0.8770272160728342,0.8534148503724222,0.8521593743542207,0.8665853097952573,0.011499355584986362
0.12882137298583984,0.012583282463736103,0.002425670623779297,0.0006819492081920467,balanced,gini,9,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 9}",0.8323740840220043,0.8549734874275248,0.8160432882536975,0.8386842912173744,0.8309377486760573,0.8346044473131535,0.012610442793019606,1,0.8790495040395895,0.8801577361658957,0.8815132336817053,0.860168178974565,0.859297326363447,0.8720371958450406,0.010080563181484904
0.12936253547668458,0.004518124623218857,0.0019111156463623047,0.00010883116360643488,balanced,gini,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 10}",0.8324044926377787,0.8498307541917682,0.8167906510991271,0.8378152412470012,0.8225552441412473,0.83188640826291,0.011597797814056992,4,0.8798944329154371,0.8851648784353415,0.8876777945418503,0.8637935566180696,0.8728460043694273,0.8778753333760252,0.008682085716541523
0.14338364601135253,0.007204509973727097,0.0020778656005859377,0.00018318799017012728,balanced,gini,11,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 11}",0.8338894467080987,0.8512293555903696,0.8160272422841632,0.8362746526631576,0.8328850772621054,0.8340616736008861,0.011196695979788509,2,0.8753996507082075,0.8854996011487253,0.8925925235092488,0.866487472049297,0.8715344684281233,0.8783027431687204,0.009485048311831456
0.16658458709716797,0.0093907767138632,0.0020435333251953127,0.0001197724771750333,balanced,gini,12,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 12}",0.8290722151591599,0.8459537976748565,0.8160272422841632,0.829045737000507,0.8231289797011299,0.8286505357499643,0.009898218350913071,10,0.8789217655360548,0.8919976689693434,0.8925925235092488,0.8609225499001845,0.874431172986261,0.8797731361802186,0.01181847620672343
