mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.05116472244262695,0.00521130371707165,0.021315479278564455,0.0033200112007373403,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.7882586492325824,0.8266334837811617,0.8209161147902869,0.7750466972321277,0.8376846663270504,0.8096994009522442,0.023897430670844155,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.04639391899108887,0.0025624396639300543,0.0063626766204833984,0.0004359776402569335,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",0.7882586492325824,0.8266334837811617,0.8209161147902869,0.7750466972321277,0.8376846663270504,0.8096994009522442,0.023897430670844155,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05140519142150879,0.006294188679767345,0.026871347427368165,0.005637383760623735,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.7585860994977413,0.7893027375880542,0.7804168789268127,0.7709076243844457,0.7647096281202242,0.7727806964447526,0.010972175174653183,46,0.8369368653421634,0.8240569222283507,0.8302233249745802,0.8357857433621925,0.8274941009993498,0.8308993913813273,0.004882621836473418
0.06489434242248535,0.012386187877815645,0.012092971801757812,0.005276888135358602,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.7942422626897501,0.8270131184882102,0.8171378841908643,0.7948081168279845,0.8338003056546103,0.8133922327904799,0.016299318184045508,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.04592890739440918,0.002068587656427004,0.024356698989868163,0.0015499766255952071,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.7868907657341677,0.8239549500147636,0.8284938020037358,0.7951265070470368,0.8123620309050773,0.8093556503955692,0.016101655090760787,6,0.8477752759381899,0.8469012686155541,0.8522152751956497,0.8575591794441635,0.8463484348924788,0.8501598868172071,0.004238072207231823
0.0465789794921875,0.0031945484631650412,0.009229421615600586,0.0006598511292032192,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.7857894441482646,0.8239549500147636,0.8336941755815929,0.7844073696722703,0.8112582781456954,0.8078116805557503,0.019875628356543974,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.04664921760559082,0.0033026296964530962,0.02456245422363281,0.0014911774220429746,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.7541808131541289,0.786118024212258,0.806164034640856,0.7825182543725592,0.7794192562404484,0.7816634884075633,0.016627299385074765,32,0.8097346578366446,0.8091622724765581,0.8075441125418306,0.816111540894745,0.813772646611533,0.8112650460722624,0.0031744499937249515
0.05315685272216797,0.005528457672277687,0.011157941818237305,0.00089629290282251,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",0.7837060523583715,0.8134236020303427,0.8252886737986076,0.7887162506367805,0.8230811682798439,0.8068301265397148,0.01738655733396764,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05526442527770996,0.008055113804715165,0.03083629608154297,0.004971547946613158,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.7614130587277983,0.8017885012865398,0.8059517744948208,0.8145695364238411,0.8039565291220921,0.797513572589335,0.01858897903310731,16,0.8156918322295805,0.8122528405956977,0.8175085335057951,0.8140664952622965,0.810072885038654,0.8139185173264047,0.0025929954125462826
0.06476421356201172,0.023605432904660998,0.014703083038330077,0.004092830564879582,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",0.7720685204410899,0.8125729390756598,0.8144634063508236,0.804848021735439,0.8124681609780947,0.8032667744638623,0.015965895905167036,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05556960105895996,0.005653866081959376,0.03434553146362305,0.004399748690782029,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.7372751760711581,0.7839105186934943,0.7814145016131772,0.8017490236033282,0.7763202581083376,0.776110949155951,0.021247879326766073,40,0.7894030905077263,0.7912591285162713,0.7918740935628202,0.7857601031950645,0.7876333332745931,0.7891859498112952,0.002267967371972376
0.045794105529785155,0.0016214909270855832,0.011328887939453126,0.0006628231930767425,manhattan,16,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",0.7742711636128959,0.8114691863162778,0.7931312616743081,0.8017490236033282,0.7997537782305995,0.7960656264097522,0.01239334611520898,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
