,G,AB,SO,SF,HBP,IBB,SH,BB,R,H,SB,RBI,HR,2B,3B,W,SHO,CG,SV,SO,HRA,HA,ER,IP,ERA,HOF
acosted01,57,29,15,0,0,0,0,1,1,1,0,0,0,0,0,6,1,3,1,70,12,153,62,413,4.05326876513317,0
acostjo01,55,60,22,0,0,0,3,11,4,9,1,1,0,1,0,10,1,6,4,45,9,265,107,640,4.5140625,0
acostma01,233,6,4,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,9,219,30,234,110,744,3.99193548387097,0
acostme01,180,436,46,0,4,0,19,63,56,111,17,37,0,9,7,0,0,0,0,0,0,0,0,0,NA,0
acrema01,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,98,16,135,73,381,5.17322834645669,0
adairje01,1165,4019,499,30,17,31,41,208,378,1022,29,366,57,163,19,0,0,0,0,0,0,0,0,0,NA,0
adairji01,18,76,8,0,0,0,2,1,9,21,1,3,0,3,1,0,0,0,0,0,0,0,0,0,NA,0
adamecr01,33,68,16,0,1,1,1,3,5,14,0,3,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
adamsac01,302,99,14,0,0,0,8,6,9,12,0,2,0,0,0,41,0,2,49,171,26,541,213,1658,3.4686369119421,0
adamsau01,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,27,3,46,21,121,4.68595041322314,0
adamsba01,482,1019,177,0,1,0,35,53,79,216,1,75,3,31,15,194,44,206,15,1036,68,2841,917,8986,2.75528600044514,0
adamsbe01,267,678,79,0,1,0,23,23,37,137,9,45,2,17,4,0,0,0,0,0,0,0,0,0,NA,0
adamsbo01,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,10,5,17,7.94117647058823,0
adamsbo02,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,7,36,5.25,0
adamsbo03,1281,4019,447,5,17,1,78,414,591,1082,67,303,37,188,49,0,0,0,0,0,0,0,0,0,NA,0
adamsbo04,15,24,5,0,0,0,0,0,2,6,0,2,2,1,0,0,0,0,0,0,0,0,0,0,NA,0
adamsbu01,576,2003,281,0,13,0,42,234,282,532,12,249,50,96,12,0,0,0,0,0,0,0,0,0,NA,0
adamsda01,47,55,18,0,0,0,1,3,1,8,0,3,1,0,0,4,0,6,3,54,5,182,71,513,3.73684210526316,0
adamsda02,43,140,43,0,2,0,1,9,10,27,0,13,2,5,1,0,0,0,0,0,0,0,0,0,NA,0
adamsdi01,37,89,18,0,0,0,2,2,9,18,0,11,2,2,3,0,0,0,0,0,0,0,0,0,NA,0
adamsdo01,8,14,3,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
adamsge01,4,13,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
adamsgl01,661,1617,183,19,4,8,9,111,152,452,6,225,34,79,5,0,0,0,0,0,0,0,0,0,NA,0
adamshe01,95,337,24,0,2,0,3,22,39,88,4,18,0,8,6,0,0,0,0,0,0,0,0,0,NA,0
adamsji01,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
adamsjo01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,12,9,0
adamsjo02,44,10,0,0,0,0,1,0,0,3,0,1,0,1,0,5,0,0,0,77,19,121,60,331,4.89425981873112,0
adamska01,30,32,16,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,62,5,119,64,345,5.00869565217391,0
adamsla01,6,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
adamsma01,337,1084,259,8,3,6,0,64,123,299,4,156,39,63,5,0,0,0,0,0,0,0,0,0,NA,0
adamsmi01,11,6,4,0,0,0,1,0,1,2,0,1,0,0,1,0,0,0,0,14,3,28,21,76,7.46052631578947,0
adamsmi02,100,118,29,0,2,0,0,32,27,23,2,9,3,5,0,0,0,0,0,0,0,0,0,0,NA,0
adamsmi03,410,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4,409,33,316,109,1222,2.40834697217676,0
adamsre01,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,18,11,36,8.25,0
adamsri01,11,23,0,0,0,0,0,4,1,4,0,0,0,0,0,2,1,3,0,25,1,63,25,188,3.59042553191489,0
adamsri02,120,247,37,0,5,3,7,10,35,53,3,16,4,5,1,0,0,0,0,0,0,0,0,0,NA,0
adamsru01,286,884,118,11,5,2,8,85,125,218,15,113,17,46,7,0,0,0,0,0,0,0,0,0,NA,0
adamsry01,29,89,25,0,1,0,0,6,9,25,0,7,0,4,0,0,0,0,0,0,0,0,0,0,NA,0
adamssp01,1424,5557,223,0,28,0,136,453,844,1588,154,394,9,249,48,0,0,0,0,0,0,0,0,0,NA,0
adamssp02,180,395,50,0,2,0,12,38,61,101,5,38,0,16,5,0,0,0,0,0,0,0,0,0,NA,0
adamste01,574,78,41,1,0,0,12,7,2,4,0,2,0,1,0,51,0,0,42,691,63,890,403,2608,4.17216257668712,0
adamswi01,65,88,18,0,0,0,1,3,4,9,0,2,0,1,1,8,0,8,2,74,8,303,138,853,4.36811254396249,0
adamswi02,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,105,20,149,87,404,5.81435643564357,0
adcocjo01,1959,6606,1059,35,17,55,52,594,823,1832,20,1122,336,295,35,0,0,0,0,0,0,0,0,0,NA,0
adcocna01,56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,80,14,126,57,369,4.17073170731707,0
addisbo01,208,534,47,0,0,0,5,37,70,150,8,47,2,22,2,0,0,0,0,0,0,0,0,0,NA,0
adducji01,70,144,27,3,0,0,1,2,11,34,0,15,1,8,1,0,0,0,0,0,0,0,0,0,NA,0
adducji02,61,132,36,2,0,0,1,13,15,25,5,8,1,4,0,0,0,0,0,0,0,0,0,0,NA,0
addybo01,274,1231,7,0,0,0,0,19,227,341,30,172,1,35,12,0,0,0,0,0,0,0,0,0,NA,0
adenhni01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,25,12,54,6,0
aderhmo01,106,262,29,0,0,0,0,19,36,70,3,32,3,7,3,0,0,0,0,0,0,0,0,0,NA,0
adkinde01,38,22,10,0,0,0,1,0,2,5,0,3,1,1,0,2,0,1,0,47,10,114,62,297,5.63636363636364,0
adkindi01,3,7,2,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
adkindo01,6,12,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,1,3,2,40,15,81,5,0
adkingr01,76,116,26,0,1,0,10,6,9,21,1,6,0,3,3,12,0,19,1,78,24,403,175,1089,4.33884297520661,0
adkinhe01,1,5,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
adkinjo01,119,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,81,18,155,70,416,4.54326923076923,0
adkinst01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,4,19,17,72,6.375,0
adlesda01,106,256,80,1,2,5,2,18,9,43,0,11,1,3,1,0,0,0,0,0,0,0,0,0,NA,0
adriaeh01,114,228,47,1,5,1,5,21,24,48,4,19,1,14,1,0,0,0,0,0,0,0,0,0,NA,0
afenitr01,45,79,32,1,0,0,1,5,4,15,0,7,0,2,2,0,0,0,0,0,0,0,0,0,NA,0
affelje01,774,17,6,0,0,0,0,2,0,3,0,2,0,0,0,43,0,0,28,720,76,904,408,2778,3.96544276457883,0
agbaybe01,383,1091,246,8,15,7,1,139,145,299,16,156,39,57,6,0,0,0,0,0,0,0,0,0,NA,0
ageeto01,1129,3912,918,15,34,26,21,342,558,999,167,433,130,170,27,0,0,0,0,0,0,0,0,0,NA,0
agganha01,157,517,67,6,0,0,7,57,65,135,8,67,11,23,9,0,0,0,0,0,0,0,0,0,NA,0
aglerjo01,234,751,130,0,1,0,21,131,121,185,38,36,0,22,10,0,0,0,0,0,0,0,0,0,NA,0
agnewsa01,563,1537,216,0,25,0,47,102,105,314,29,98,2,41,14,0,0,0,0,0,0,0,0,0,NA,0
agostju01,543,20,7,0,0,0,1,1,0,2,0,0,0,0,0,40,0,0,29,307,30,639,279,1879,4.00904736562001,0
aguaylu01,568,1104,220,12,20,12,14,94,142,260,7,109,37,43,10,0,0,0,0,0,0,0,0,0,NA,0
aguilch01,149,230,61,0,0,1,2,16,26,53,2,16,3,13,2,0,0,0,0,0,0,0,0,0,NA,0
aguilje01,26,52,20,1,1,0,0,4,2,10,0,5,0,1,0,0,0,0,0,0,0,0,0,0,NA,0
aguilri01,737,139,37,0,0,0,16,6,12,28,0,11,3,3,0,86,0,10,318,1030,138,1233,512,3874,3.5684047496128,0
aguirha01,447,388,236,1,0,0,24,14,14,33,1,21,0,7,1,75,9,44,33,856,123,1216,496,4127,3.24497213472256,0
ahearch01,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
ahearpa01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,20,13,30,11.7,0
ahmedni01,159,491,91,3,1,1,7,32,58,109,4,38,10,19,6,0,0,0,0,0,0,0,0,0,NA,0
aikenwi01,774,2492,444,27,18,42,0,319,301,675,3,415,110,125,2,0,0,0,0,0,0,0,0,0,NA,0
aingeda01,211,665,128,3,4,2,12,37,57,146,12,37,2,19,4,0,0,0,0,0,0,0,0,0,NA,0
ainsmed01,1078,3048,315,0,12,0,99,263,299,707,86,317,22,108,54,0,0,0,0,0,0,2,2,1,54,0
ainswku01,30,28,8,0,0,0,5,0,1,2,0,0,0,1,0,6,0,0,0,90,16,136,73,380,5.18684210526316,0
aitchra01,34,59,17,0,0,0,3,9,4,10,0,2,0,0,0,12,3,10,0,101,7,193,69,619,3.00969305331179,0
aitonge01,10,17,0,0,0,0,0,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
akejo01,13,52,0,0,1,0,0,0,1,10,0,2,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
akerfda01,125,9,6,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,3,129,36,216,132,701,5.08416547788873,0
akerja01,496,92,51,0,1,0,10,1,3,7,0,4,0,2,0,47,0,0,123,404,64,679,272,2238,3.28150134048257,0
akersbi01,174,475,64,0,1,0,14,63,64,124,7,69,11,17,9,0,0,0,0,0,0,0,0,0,NA,0
akersje01,5,6,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,11,1,24,11,61,4.86885245901639,0
albagi01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,10,2.7,0
albaljo01,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,56,10,77,37,230,4.34347826086957,0
albanjo01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,3,18,4.5,0
alberan01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,26,7,65,28,188,4.02127659574468,0
alberbu01,6,18,2,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0
